segment_id,class,area_px,area_pct,confidence,conf_sulfide,cx,cy
1654,fine,985,0.00078,0.8961,0.9135,3955,4273
1137,fine,984,0.00078,0.918,0.928,1366,2916
1821,fine,983,0.00078,0.9313,0.9172,4606,4749
1927,fine,983,0.00078,0.9205,0.9199,467,5161
2950,fine,980,0.00077,0.6103,0.9438,11481,8016
329,fine,980,0.00077,0.9085,0.8977,10831,745
2014,fine,980,0.00077,0.8696,0.8913,9953,5466
3648,fine,980,0.00077,0.9009,0.9515,4013,9468
1185,fine,977,0.00077,0.913,0.9167,8242,3014
1477,fine,976,0.00077,0.9615,0.9441,10400,3785
3291,fine,975,0.00077,0.833,0.9008,9141,8737
1971,fine,975,0.00077,0.8979,0.9142,4565,5309
1917,fine,974,0.00077,0.8892,0.9445,47,5128
2671,fine,971,0.00077,0.9133,0.9083,6687,7413
1244,fine,970,0.00077,0.8774,0.8874,5156,3171
1683,fine,969,0.00077,0.8923,0.8844,3249,4373
2175,fine,969,0.00077,0.9642,0.9288,8490,6076
58,fine,969,0.00077,0.9572,0.8726,4805,131
2035,fine,968,0.00077,0.8622,0.9233,3705,5517
2076,fine,968,0.00077,0.8934,0.9453,5876,5693
2845,fine,966,0.00076,0.9567,0.8931,4041,7788
2593,fine,964,0.00076,0.932,0.9317,9027,7218
1643,fine,964,0.00076,0.9171,0.921,609,4249
1084,fine,961,0.00076,0.9466,0.9488,9972,2813
221,fine,954,0.00075,0.94,0.9196,5620,522
1197,fine,952,0.00075,0.9196,0.9592,453,3031
2008,fine,952,0.00075,0.9033,0.9529,5527,5442
1939,fine,951,0.00075,0.9072,0.9536,6753,5202
235,fine,950,0.00075,0.8971,0.8851,2241,554
3377,fine,948,0.00075,0.9563,0.8868,8188,8937
2049,fine,947,0.00075,0.9007,0.928,7860,5606
1180,fine,942,0.00074,0.9483,0.966,9835,3011
3124,fine,938,0.00074,0.7775,0.9165,1308,8370
3416,fine,934,0.00074,0.8635,0.8924,10026,9006
3526,fine,934,0.00074,0.9033,0.9414,10747,9284
824,fine,932,0.00074,0.9307,0.9559,7174,2078
1403,fine,930,0.00074,0.952,0.9137,10499,3620
2824,fine,928,0.00073,0.9649,0.9165,3994,7771
894,fine,928,0.00073,0.8862,0.9364,13250,2305
3279,fine,926,0.00073,0.9807,0.9639,8150,8704
2304,fine,926,0.00073,0.9175,0.93,1104,6475
82,fine,923,0.00073,0.9522,0.9121,8775,182
2806,fine,921,0.00073,0.9571,0.9293,5373,7736
844,fine,918,0.00073,0.8835,0.9137,1597,2159
1086,fine,918,0.00073,0.8912,0.9578,2355,2804
